Name/Inception Date,Asset Class,Category,NAV,Change From Last Close,Price As Of,
CALV US LG CP CRI I (CISIX)06/30/2000 ÿ,Stock Investments,Large Cap,$27.45 ,($0.11),6/19/2020,ÿÿÿ
Investments you currently ownÿFID 500 INDEX (FXAIX)02/17/1988 ÿ,Stock Investments,Large Cap,$107.83 ,($0.60),6/19/2020,ÿÿÿ
JPM LG CAP GROWTH R6 (JLGMX)02/28/1992 ÿ,Stock Investments,Large Cap,$50.09 ,$0.12 ,6/19/2020,ÿÿÿ
Investments you currently ownÿMFS VALUE R6 (MEIKX)01/02/1996 ÿ,Stock Investments,Large Cap,$38.79 ,($0.35),6/19/2020,ÿÿÿ
BLKRK MIDCAP GRTH IS (CMGIX)12/27/1996 ÿ,Stock Investments,Mid-Cap,$33.15 ,($0.07),6/19/2020,ÿÿÿ
FID EXTD MKT IDX (FSMAX)11/05/1997 ÿ,Stock Investments,Mid-Cap,$59.93 ,($0.23),6/19/2020,ÿÿÿ
MFS MID CAP VALUE R6 (MVCKX)08/31/2001 ÿ,Stock Investments,Mid-Cap,$21.29 ,($0.27),6/19/2020,ÿÿÿ
DLWR SM CAP CORE IS (DCCIX)12/29/1998 ÿ,Stock Investments,Small Cap,$20.68 ,($0.12),6/19/2020,ÿÿÿ
GS SM CAP VALUE R6 (GSSUX)10/22/1992 ÿ,Stock Investments,Small Cap,$40.86 ,($0.48),6/19/2020,ÿÿÿ
Investments you currently ownÿJ H TRITON N (JGMNX)02/25/2005 ÿ,Stock Investments,Small Cap,$29.67 ,$0.10 ,6/19/2020,ÿÿÿ
AF EUROPAC GROWTH R6 (RERGX)04/16/1984 ÿ,Stock Investments,International,$52.89 ,$0.10 ,6/19/2020,ÿÿÿ
AF NEW PERSPECT R6 (RNPGX)03/13/1973 ÿ,Stock Investments,International,$47.67 ,$0.02 ,6/19/2020,ÿÿÿ
FID INTL INDEX (FSPSX)11/05/1997 ÿ,Stock Investments,International,$38.45 ,($0.12),6/19/2020,ÿÿÿ
I O DEVELOP MKT R6 (ODVIX)11/18/1996 ÿ,Stock Investments,International,$42.02 ,$0.06 ,6/19/2020,ÿÿÿ
Investments you currently ownÿFID BALANCED K (FBAKX)11/06/1986 ÿ,Blended Fund Investments*,N/A,$24.94 ,($0.05),6/19/2020,ÿÿÿ
FID FREEDOM 2005 K (FSNJX)11/06/2003 ÿ,Blended Fund Investments*,N/A,$12.32 ,$0.01 ,6/19/2020,ÿÿÿ
FID FREEDOM 2010 K (FSNKX)10/17/1996 ÿ,Blended Fund Investments*,N/A,$15.22 ,$0.02 ,6/19/2020,ÿÿÿ
FID FREEDOM 2015 K (FSNLX)11/06/2003 ÿ,Blended Fund Investments*,N/A,$12.38 ,$0.01 ,6/19/2020,ÿÿÿ
FID FREEDOM 2020 K (FSNOX)10/17/1996 ÿ,Blended Fund Investments*,N/A,$15.47 ,$0.00 ,6/19/2020,ÿÿÿ
FID FREEDOM 2025 K (FSNPX)11/06/2003 ÿ,Blended Fund Investments*,N/A,$13.65 ,$0.00 ,6/19/2020,ÿÿÿ
FID FREEDOM 2030 K (FSNQX)10/17/1996 ÿ,Blended Fund Investments*,N/A,$16.77 ,$0.00 ,6/19/2020,ÿÿÿ
FID FREEDOM 2035 K (FSNUX)11/06/2003 ÿ,Blended Fund Investments*,N/A,$13.94 ,($0.01),6/19/2020,ÿÿÿ
FID FREEDOM 2040 K (FSNVX)09/06/2000 ÿ,Blended Fund Investments*,N/A,$9.70 ,($0.01),6/19/2020,ÿÿÿ
FID FREEDOM 2045 K (FSNZX)06/01/2006 ÿ,Blended Fund Investments*,N/A,$11.03 ,($0.01),6/19/2020,ÿÿÿ
FID FREEDOM 2050 K (FNSBX)06/01/2006 ÿ,Blended Fund Investments*,N/A,$11.11 ,($0.01),6/19/2020,ÿÿÿ
FID FREEDOM 2055 K (FNSDX)06/01/2011 ÿ,Blended Fund Investments*,N/A,$12.70 ,($0.01),6/19/2020,ÿÿÿ
FID FREEDOM 2060 K (FNSFX)08/05/2014 ÿ,Blended Fund Investments*,N/A,$11.46 ,($0.01),6/19/2020,ÿÿÿ
FID FREEDOM 2065 K (FFSDX)06/28/2019 ÿ,Blended Fund Investments*,N/A,$10.08 ,($0.01),6/19/2020,ÿÿÿ
FID FREEDOM INC K (FNSHX)10/17/1996 ÿ,Blended Fund Investments*,N/A,$11.65 ,$0.01 ,6/19/2020,ÿÿÿ
PUTNAM STABLE VALUE02/28/1991 ÿ,Bond Investments,Stable Value,$1.00 ,$0.00 ,6/19/2020,ÿÿÿ
FID TOTAL BOND K6 (FTKFX)05/25/2017 ÿ,Bond Investments,Income,$10.67 ,$0.01 ,6/19/2020,ÿÿÿ
FID US BOND IDX (FXNAX)03/08/1990 ÿ,Bond Investments,Income,$12.53 ,$0.01 ,6/19/2020,ÿÿÿ
VANG INFL PROT ADM (VAIPX)06/29/2000 ÿ,Bond Investments,Other,$27.32 ,$0.05 ,6/19/2020,ÿÿÿ
AB GLOBAL BOND I (ANAIX)03/27/1992 ÿ,Bond Investments,Income,$8.57 ,$0.01 ,6/19/2020,ÿÿÿ
